classification,mean,std,sharpe_ratio
Extreme Greed,35393.0983548,85325.49990240615,0.4148009492505994
Fear,209372.6622054375,380423.90686389175,0.5503667315007806
Greed,99675.5167305,282694.28552609455,0.3525911977492
Neutral,19842.79725975,57227.787894724344,0.34673360599316905
